arch,model_id,method,task,sample_size,seed,accuracy,majority_baseline,collapsed,exploded,max_grad_norm_observed,trainable_params,total_params,trainable_ratio
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,192,7,0.8112758557569101,0.5053999633900788,False,False,77.5849838256836,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,192,13,0.779974373055098,0.5053999633900788,False,False,105.581298828125,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,192,29,0.8189639392275306,0.5053999633900788,False,False,67.57805633544922,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,384,7,0.818048691195314,0.5053999633900788,False,False,88.22697448730469,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,384,13,0.8204283360790774,0.5053999633900788,False,False,106.5136947631836,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,384,29,0.8407468423942889,0.5053999633900788,False,False,60.13665771484375,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,48,7,0.5631768953068592,0.5270758122743683,False,False,76.98677825927734,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,48,13,0.5415162454873647,0.5270758122743683,False,False,68.31845092773438,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,48,29,0.5234657039711191,0.5270758122743683,True,False,35.807861328125,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,96,7,0.592057761732852,0.5270758122743683,False,False,79.88710021972656,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,96,13,0.6353790613718412,0.5270758122743683,False,False,74.45716857910156,1148928,597200896,0.001923855117591786
